编号,姓名,交路所处天数,出发车站,到达车站,工作时长,休息时长,所属交路长度,身份信息（0-乘务员；1-乘务长）,作休类型（1-作；0-休）,所属交路编号,是否请假（0-是；1-否）,工作天数,休息天数
120,赵20,5,南京,南京,0,1440,5,0,0,1,1,2,3
121,赵21,0,南京,南京,0,0,5,0,0,1,1,2,3
122,赵21,1,南京,南京,0,1440,5,0,0,1,1,2,3
123,赵21,2,南京,南京,0,1440,5,0,0,1,1,2,3
124,赵21,3,南京,上海,819,621,5,0,1,1,1,2,3
125,赵21,4,上海,南京,819,621,5,0,1,1,1,2,3
126,赵21,5,南京,南京,0,1440,5,0,0,1,1,2,3
127,赵22,0,南京,南京,0,0,5,0,0,1,1,2,3
128,赵22,1,南京,南京,0,1440,5,0,0,1,1,2,3
129,赵22,2,南京,南京,0,1440,5,0,0,1,1,2,3
130,赵22,3,南京,上海,819,621,5,0,1,1,1,2,3
131,赵22,4,上海,南京,819,621,5,0,1,1,1,2,3
132,赵22,5,南京,南京,0,1440,5,0,0,1,1,2,3
133,赵23,0,南京,南京,0,0,5,0,0,1,1,2,3
134,赵23,1,南京,南京,0,1440,5,0,0,1,1,2,3
135,赵23,2,南京,南京,0,1440,5,0,0,1,1,2,3
136,赵23,3,南京,南京,0,1440,5,0,0,1,1,2,3
137,赵23,4,南京,上海,819,621,5,0,1,1,1,2,3
138,赵23,5,上海,南京,819,621,5,0,1,1,1,2,3
139,赵24,0,南京,南京,0,0,5,0,0,1,1,2,3
140,赵24,1,南京,南京,0,1440,5,0,0,1,1,2,3
141,赵24,2,南京,南京,0,1440,5,0,0,1,1,2,3
142,赵24,3,南京,南京,0,1440,5,0,0,1,1,2,3
143,赵24,4,南京,上海,819,621,5,0,1,1,1,2,3
144,赵24,5,上海,南京,819,621,5,0,1,1,1,2,3
145,赵25,0,南京,南京,0,0,5,0,0,1,1,2,3
146,赵25,1,南京,南京,0,1440,5,0,0,1,1,2,3
147,赵25,2,南京,南京,0,1440,5,0,0,1,1,2,3
148,赵25,3,南京,南京,0,1440,5,0,0,1,1,2,3
149,赵25,4,南京,上海,819,621,5,0,1,1,1,2,3
150,赵25,5,上海,南京,819,621,5,0,1,1,1,2,3
151,赵26,0,南京,南京,0,0,5,0,0,1,1,2,3
152,赵26,1,南京,南京,0,1440,5,0,0,1,1,2,3
153,赵26,2,南京,南京,0,1440,5,0,0,1,1,2,3
154,赵26,3,南京,南京,0,1440,5,0,0,1,1,2,3
155,赵26,4,南京,上海,819,621,5,0,1,1,1,2,3
156,赵26,5,上海,南京,819,621,5,0,1,1,1,2,3
157,赵27,0,南京,南京,0,0,5,0,0,1,1,2,3
158,赵27,1,上海,南京,819,621,5,0,1,1,1,2,3
159,赵27,2,南京,南京,0,1440,5,0,0,1,1,2,3
160,赵27,3,南京,南京,0,1440,5,0,0,1,1,2,3
161,赵27,4,南京,南京,0,1440,5,0,0,1,1,2,3
162,赵27,5,南京,上海,819,621,5,0,1,1,1,2,3
163,赵28,0,南京,南京,0,0,5,0,0,1,1,2,3
164,赵28,1,上海,南京,819,621,5,0,1,1,1,2,3
165,赵28,2,南京,南京,0,1440,5,0,0,1,1,2,3
166,赵28,3,南京,南京,0,1440,5,0,0,1,1,2,3
167,赵28,4,南京,南京,0,1440,5,0,0,1,1,2,3
168,赵28,5,南京,上海,819,621,5,0,1,1,1,2,3
169,赵29,0,南京,南京,0,0,5,0,0,1,1,2,3
170,赵29,1,上海,南京,819,621,5,0,1,1,1,2,3
171,赵29,2,南京,南京,0,1440,5,0,0,1,1,2,3
172,赵29,3,南京,南京,0,1440,5,0,0,1,1,2,3
173,赵29,4,南京,南京,0,1440,5,0,0,1,1,2,3
174,赵29,5,南京,上海,819,621,5,0,1,1,1,2,3
175,赵30,0,南京,南京,0,0,5,0,0,1,1,2,3
176,赵30,1,上海,南京,819,621,5,0,1,1,1,2,3
177,赵30,2,南京,南京,0,1440,5,0,0,1,1,2,3
178,赵30,3,南京,南京,0,1440,5,0,0,1,1,2,3
179,赵30,4,南京,南京,0,1440,5,0,0,1,1,2,3
180,赵30,5,南京,上海,819,621,5,0,1,1,1,2,3
181,钱1,0,南京,南京,0,0,5,1,0,2,1,2,3
182,钱1,1,南京,上海,819,621,5,1,1,2,1,2,3
183,钱1,2,上海,南京,832,608,5,1,1,2,1,2,3
184,钱1,3,南京,南京,0,1440,5,1,0,2,1,2,3
185,钱1,4,南京,南京,0,1440,5,1,0,2,1,2,3
186,钱1,5,南京,南京,0,1440,5,1,0,2,1,2,3
187,钱2,0,南京,南京,0,0,5,1,0,2,1,2,3
188,钱2,1,南京,上海,819,621,5,1,1,2,1,2,3
189,钱2,2,上海,南京,832,608,5,1,1,2,1,2,3
190,钱2,3,南京,南京,0,1440,5,1,0,2,1,2,3
191,钱2,4,南京,南京,0,1440,5,1,0,2,1,2,3
192,钱2,5,南京,南京,0,1440,5,1,0,2,1,2,3
193,钱3,0,南京,南京,0,0,5,1,0,2,1,2,3
194,钱3,1,南京,南京,0,1440,5,1,0,2,1,2,3
195,钱3,2,南京,上海,819,621,5,1,1,2,1,2,3
196,钱3,3,上海,南京,832,608,5,1,1,2,1,2,3
197,钱3,4,南京,南京,0,1440,5,1,0,2,1,2,3
198,钱3,5,南京,南京,0,1440,5,1,0,2,1,2,3
199,钱4,0,南京,南京,0,0,5,1,0,2,1,2,3
200,钱4,1,南京,南京,0,1440,5,1,0,2,1,2,3
201,钱4,2,南京,上海,819,621,5,1,1,2,1,2,3
202,钱4,3,上海,南京,832,608,5,1,1,2,1,2,3
203,钱4,4,南京,南京,0,1440,5,1,0,2,1,2,3
204,钱4,5,南京,南京,0,1440,5,1,0,2,1,2,3
205,钱5,0,南京,南京,0,0,5,1,0,2,1,2,3
206,钱5,1,南京,南京,0,1440,5,1,0,2,1,2,3
207,钱5,2,南京,南京,0,1440,5,1,0,2,1,2,3
208,钱5,3,南京,上海,819,621,5,1,1,2,1,2,3
209,钱5,4,上海,南京,832,608,5,1,1,2,1,2,3
210,钱5,5,南京,南京,0,1440,5,1,0,2,1,2,3
211,钱6,0,南京,南京,0,0,5,1,0,2,1,2,3
212,钱6,1,南京,南京,0,1440,5,1,0,2,1,2,3
213,钱6,2,南京,南京,0,1440,5,1,0,2,1,2,3
214,钱6,3,南京,上海,819,621,5,1,1,2,1,2,3
215,钱6,4,上海,南京,832,608,5,1,1,2,1,2,3
216,钱6,5,南京,南京,0,1440,5,1,0,2,1,2,3
217,钱7,0,南京,南京,0,0,5,1,0,2,1,2,3
218,钱7,1,南京,南京,0,1440,5,1,0,2,1,2,3
219,钱7,2,南京,南京,0,1440,5,1,0,2,1,2,3
220,钱7,3,南京,南京,0,1440,5,1,0,2,1,2,3
221,钱7,4,南京,上海,819,621,5,1,1,2,1,2,3
222,钱7,5,上海,南京,832,608,5,1,1,2,1,2,3
223,钱8,0,南京,南京,0,0,5,1,0,2,1,2,3
224,钱8,1,南京,南京,0,1440,5,1,0,2,1,2,3
225,钱8,2,南京,南京,0,1440,5,1,0,2,1,2,3
226,钱8,3,南京,南京,0,1440,5,1,0,2,1,2,3
227,钱8,4,南京,上海,819,621,5,1,1,2,1,2,3
228,钱8,5,上海,南京,832,608,5,1,1,2,1,2,3
229,钱9,0,南京,南京,0,0,5,1,0,2,1,2,3
230,钱9,1,上海,南京,832,608,5,1,1,2,1,2,3
231,钱9,2,南京,南京,0,1440,5,1,0,2,1,2,3
232,钱9,3,南京,南京,0,1440,5,1,0,2,1,2,3
233,钱9,4,南京,南京,0,1440,5,1,0,2,1,2,3
234,钱9,5,南京,上海,819,621,5,1,1,2,1,2,3
235,钱10,0,南京,南京,0,0,5,1,0,2,1,2,3
236,钱10,1,上海,南京,832,608,5,1,1,2,1,2,3
237,钱10,2,南京,南京,0,1440,5,1,0,2,1,2,3
238,钱10,3,南京,南京,0,1440,5,1,0,2,1,2,3
239,钱10,4,南京,南京,0,1440,5,1,0,2,1,2,3
240,钱10,5,南京,上海,819,621,5,1,1,2,1,2,3
241,钱11,0,南京,南京,0,0,5,0,0,2,1,2,3
242,钱11,1,南京,上海,819,621,5,0,1,2,1,2,3
243,钱11,2,上海,南京,832,608,5,0,1,2,1,2,3
244,钱11,3,南京,南京,0,1440,5,0,0,2,1,2,3
245,钱11,4,南京,南京,0,1440,5,0,0,2,1,2,3
246,钱11,5,南京,南京,0,1440,5,0,0,2,1,2,3
247,钱12,0,南京,南京,0,0,5,0,0,2,1,2,3
248,钱12,1,南京,上海,819,621,5,0,1,2,1,2,3
249,钱12,2,上海,南京,832,608,5,0,1,2,1,2,3
250,钱12,3,南京,南京,0,1440,5,0,0,2,1,2,3
251,钱12,4,南京,南京,0,1440,5,0,0,2,1,2,3
252,钱12,5,南京,南京,0,1440,5,0,0,2,1,2,3
253,钱13,0,南京,南京,0,0,5,0,0,2,1,2,3
254,钱13,1,南京,上海,819,621,5,0,1,2,1,2,3
255,钱13,2,上海,南京,832,608,5,0,1,2,1,2,3
256,钱13,3,南京,南京,0,1440,5,0,0,2,1,2,3
257,钱13,4,南京,南京,0,1440,5,0,0,2,1,2,3
258,钱13,5,南京,南京,0,1440,5,0,0,2,1,2,3
259,钱14,0,南京,南京,0,0,5,0,0,2,1,2,3
260,钱14,1,南京,上海,819,621,5,0,1,2,1,2,3
261,钱14,2,上海,南京,832,608,5,0,1,2,1,2,3
262,钱14,3,南京,南京,0,1440,5,0,0,2,1,2,3
263,钱14,4,南京,南京,0,1440,5,0,0,2,1,2,3
264,钱14,5,南京,南京,0,1440,5,0,0,2,1,2,3
265,钱15,0,南京,南京,0,0,5,0,0,2,1,2,3
266,钱15,1,南京,南京,0,1440,5,0,0,2,1,2,3
267,钱15,2,南京,上海,819,621,5,0,1,2,1,2,3
268,钱15,3,上海,南京,832,608,5,0,1,2,1,2,3
269,钱15,4,南京,南京,0,1440,5,0,0,2,1,2,3
270,钱15,5,南京,南京,0,1440,5,0,0,2,1,2,3
271,钱16,0,南京,南京,0,0,5,0,0,2,1,2,3
272,钱16,1,南京,南京,0,1440,5,0,0,2,1,2,3
273,钱16,2,南京,上海,819,621,5,0,1,2,1,2,3
274,钱16,3,上海,南京,832,608,5,0,1,2,1,2,3
275,钱16,4,南京,南京,0,1440,5,0,0,2,1,2,3
276,钱16,5,南京,南京,0,1440,5,0,0,2,1,2,3
277,钱17,0,南京,南京,0,0,5,0,0,2,1,2,3
278,钱17,1,南京,南京,0,1440,5,0,0,2,1,2,3
279,钱17,2,南京,上海,819,621,5,0,1,2,1,2,3
280,钱17,3,上海,南京,832,608,5,0,1,2,1,2,3
281,钱17,4,南京,南京,0,1440,5,0,0,2,1,2,3
282,钱17,5,南京,南京,0,1440,5,0,0,2,1,2,3
283,钱18,0,南京,南京,0,0,5,0,0,2,1,2,3
284,钱18,1,南京,南京,0,1440,5,0,0,2,1,2,3
285,钱18,2,南京,上海,819,621,5,0,1,2,1,2,3
286,钱18,3,上海,南京,832,608,5,0,1,2,1,2,3
287,钱18,4,南京,南京,0,1440,5,0,0,2,1,2,3
288,钱18,5,南京,南京,0,1440,5,0,0,2,1,2,3
289,钱19,0,南京,南京,0,0,5,0,0,2,1,2,3
290,钱19,1,南京,南京,0,1440,5,0,0,2,1,2,3
291,钱19,2,南京,南京,0,1440,5,0,0,2,1,2,3
292,钱19,3,南京,上海,819,621,5,0,1,2,1,2,3
293,钱19,4,上海,南京,832,608,5,0,1,2,1,2,3
294,钱19,5,南京,南京,0,1440,5,0,0,2,1,2,3
295,钱20,0,南京,南京,0,0,5,0,0,2,1,2,3
296,钱20,1,南京,南京,0,1440,5,0,0,2,1,2,3
297,钱20,2,南京,南京,0,1440,5,0,0,2,1,2,3
298,钱20,3,南京,上海,819,621,5,0,1,2,1,2,3
299,钱20,4,上海,南京,832,608,5,0,1,2,1,2,3
300,钱20,5,南京,南京,0,1440,5,0,0,2,1,2,3
301,钱21,0,南京,南京,0,0,5,0,0,2,1,2,3
302,钱21,1,南京,南京,0,1440,5,0,0,2,1,2,3
303,钱21,2,南京,南京,0,1440,5,0,0,2,1,2,3
304,钱21,3,南京,上海,819,621,5,0,1,2,1,2,3
305,钱21,4,上海,南京,832,608,5,0,1,2,1,2,3
306,钱21,5,南京,南京,0,1440,5,0,0,2,1,2,3
307,钱22,0,南京,南京,0,0,5,0,0,2,1,2,3
308,钱22,1,南京,南京,0,1440,5,0,0,2,1,2,3
309,钱22,2,南京,南京,0,1440,5,0,0,2,1,2,3
310,钱22,3,南京,上海,819,621,5,0,1,2,1,2,3
311,钱22,4,上海,南京,832,608,5,0,1,2,1,2,3
312,钱22,5,南京,南京,0,1440,5,0,0,2,1,2,3
313,钱23,0,南京,南京,0,0,5,0,0,2,1,2,3
314,钱23,1,南京,南京,0,1440,5,0,0,2,1,2,3
315,钱23,2,南京,南京,0,1440,5,0,0,2,1,2,3
316,钱23,3,南京,南京,0,1440,5,0,0,2,1,2,3
317,钱23,4,南京,上海,819,621,5,0,1,2,1,2,3
318,钱23,5,上海,南京,832,608,5,0,1,2,1,2,3
319,钱24,0,南京,南京,0,0,5,0,0,2,1,2,3
320,钱24,1,南京,南京,0,1440,5,0,0,2,1,2,3
321,钱24,2,南京,南京,0,1440,5,0,0,2,1,2,3
322,钱24,3,南京,南京,0,1440,5,0,0,2,1,2,3
323,钱24,4,南京,上海,819,621,5,0,1,2,1,2,3
324,钱24,5,上海,南京,832,608,5,0,1,2,1,2,3
325,钱25,0,南京,南京,0,0,5,0,0,2,1,2,3
326,钱25,1,南京,南京,0,1440,5,0,0,2,1,2,3
327,钱25,2,南京,南京,0,1440,5,0,0,2,1,2,3
328,钱25,3,南京,南京,0,1440,5,0,0,2,1,2,3
329,钱25,4,南京,上海,819,621,5,0,1,2,1,2,3
330,钱25,5,上海,南京,832,608,5,0,1,2,1,2,3
331,钱26,0,南京,南京,0,0,5,0,0,2,1,2,3
332,钱26,1,南京,南京,0,1440,5,0,0,2,1,2,3
333,钱26,2,南京,南京,0,1440,5,0,0,2,1,2,3
334,钱26,3,南京,南京,0,1440,5,0,0,2,1,2,3
335,钱26,4,南京,上海,819,621,5,0,1,2,1,2,3
336,钱26,5,上海,南京,832,608,5,0,1,2,1,2,3
337,钱27,0,南京,南京,0,0,5,0,0,2,1,2,3
338,钱27,1,上海,南京,832,608,5,0,1,2,1,2,3
339,钱27,2,南京,南京,0,1440,5,0,0,2,1,2,3
340,钱27,3,南京,南京,0,1440,5,0,0,2,1,2,3
341,钱27,4,南京,南京,0,1440,5,0,0,2,1,2,3
342,钱27,5,南京,上海,819,621,5,0,1,2,1,2,3
343,钱28,0,南京,南京,0,0,5,0,0,2,1,2,3
344,钱28,1,上海,南京,832,608,5,0,1,2,1,2,3
345,钱28,2,南京,南京,0,1440,5,0,0,2,1,2,3
346,钱28,3,南京,南京,0,1440,5,0,0,2,1,2,3
347,钱28,4,南京,南京,0,1440,5,0,0,2,1,2,3
348,钱28,5,南京,上海,819,621,5,0,1,2,1,2,3
349,钱29,0,南京,南京,0,0,5,0,0,2,1,2,3
350,钱29,1,上海,南京,832,608,5,0,1,2,1,2,3
351,钱29,2,南京,南京,0,1440,5,0,0,2,1,2,3
352,钱29,3,南京,南京,0,1440,5,0,0,2,1,2,3
353,钱29,4,南京,南京,0,1440,5,0,0,2,1,2,3
354,钱29,5,南京,上海,819,621,5,0,1,2,1,2,3
355,钱30,0,南京,南京,0,0,5,0,0,2,1,2,3
356,钱30,1,上海,南京,832,608,5,0,1,2,1,2,3
357,钱30,2,南京,南京,0,1440,5,0,0,2,1,2,3
358,钱30,3,南京,南京,0,1440,5,0,0,2,1,2,3
359,钱30,4,南京,南京,0,1440,5,0,0,2,1,2,3
360,钱30,5,南京,上海,819,621,5,0,1,2,1,2,3
361,孙1,0,南京,南京,0,0,8,1,0,3,1,4,4
362,孙1,1,南京,常州,823,617,8,1,1,3,1,4,4
363,孙1,2,常州,南京,789,651,8,1,1,3,1,4,4
364,孙1,3,南京,南京,0,1440,8,1,0,3,1,4,4
365,孙1,4,南京,南京,0,1440,8,1,0,3,1,4,4
366,孙1,5,南京,南京,0,1440,8,1,0,3,1,4,4
367,孙1,6,上海,苏州,438,1002,8,1,1,3,1,4,4
368,孙1,7,苏州,南京,44,1396,8,1,1,3,1,4,4
369,孙1,8,南京,南京,0,1440,8,1,0,3,1,4,4
370,孙2,0,南京,南京,0,0,8,1,0,3,1,4,4
371,孙2,1,南京,南京,0,1440,8,1,0,3,1,4,4
372,孙2,2,南京,常州,823,617,8,1,1,3,1,4,4
373,孙2,3,常州,南京,789,651,8,1,1,3,1,4,4
374,孙2,4,南京,南京,0,1440,8,1,0,3,1,4,4
375,孙2,5,南京,南京,0,1440,8,1,0,3,1,4,4
376,孙2,6,南京,南京,0,1440,8,1,0,3,1,4,4
377,孙2,7,上海,苏州,438,1002,8,1,1,3,1,4,4
378,孙2,8,苏州,南京,44,1396,8,1,1,3,1,4,4
379,孙3,0,南京,南京,0,0,8,1,0,3,1,4,4
380,孙3,1,苏州,南京,44,1396,8,1,1,3,1,4,4
381,孙3,2,南京,南京,0,1440,8,1,0,3,1,4,4
382,孙3,3,南京,常州,823,617,8,1,1,3,1,4,4
383,孙3,4,常州,南京,789,651,8,1,1,3,1,4,4
384,孙3,5,南京,南京,0,1440,8,1,0,3,1,4,4
385,孙3,6,南京,南京,0,1440,8,1,0,3,1,4,4
386,孙3,7,南京,南京,0,1440,8,1,0,3,1,4,4
387,孙3,8,上海,苏州,438,1002,8,1,1,3,1,4,4
388,孙4,0,南京,南京,0,0,8,1,0,3,1,4,4
389,孙4,1,上海,苏州,438,1002,8,1,1,3,1,4,4
390,孙4,2,苏州,南京,44,1396,8,1,1,3,1,4,4
391,孙4,3,南京,南京,0,1440,8,1,0,3,1,4,4
392,孙4,4,南京,常州,823,617,8,1,1,3,1,4,4
393,孙4,5,常州,南京,789,651,8,1,1,3,1,4,4
394,孙4,6,南京,南京,0,1440,8,1,0,3,1,4,4
395,孙4,7,南京,南京,0,1440,8,1,0,3,1,4,4
396,孙4,8,南京,南京,0,1440,8,1,0,3,1,4,4
397,孙5,0,南京,南京,0,0,8,1,0,3,1,4,4
398,孙5,1,南京,南京,0,1440,8,1,0,3,1,4,4
399,孙5,2,上海,苏州,438,1002,8,1,1,3,1,4,4
400,孙5,3,苏州,南京,44,1396,8,1,1,3,1,4,4
401,孙5,4,南京,南京,0,1440,8,1,0,3,1,4,4
402,孙5,5,南京,常州,823,617,8,1,1,3,1,4,4
403,孙5,6,常州,南京,789,651,8,1,1,3,1,4,4
404,孙5,7,南京,南京,0,1440,8,1,0,3,1,4,4
405,孙5,8,南京,南京,0,1440,8,1,0,3,1,4,4
406,孙6,0,南京,南京,0,0,8,1,0,3,1,4,4
407,孙6,1,南京,南京,0,1440,8,1,0,3,1,4,4
408,孙6,2,南京,南京,0,1440,8,1,0,3,1,4,4
409,孙6,3,上海,苏州,438,1002,8,1,1,3,1,4,4
410,孙6,4,苏州,南京,44,1396,8,1,1,3,1,4,4
411,孙6,5,南京,南京,0,1440,8,1,0,3,1,4,4
412,孙6,6,南京,常州,823,617,8,1,1,3,1,4,4
413,孙6,7,常州,南京,789,651,8,1,1,3,1,4,4
414,孙6,8,南京,南京,0,1440,8,1,0,3,1,4,4
415,孙7,0,南京,南京,0,0,8,1,0,3,1,4,4
416,孙7,1,南京,南京,0,1440,8,1,0,3,1,4,4
417,孙7,2,南京,南京,0,1440,8,1,0,3,1,4,4
418,孙7,3,南京,南京,0,1440,8,1,0,3,1,4,4
419,孙7,4,上海,苏州,438,1002,8,1,1,3,1,4,4
420,孙7,5,苏州,南京,44,1396,8,1,1,3,1,4,4
421,孙7,6,南京,南京,0,1440,8,1,0,3,1,4,4
422,孙7,7,南京,常州,823,617,8,1,1,3,1,4,4
423,孙7,8,常州,南京,789,651,8,1,1,3,1,4,4
